presence,retailers,type,name,brand,min_price,max_price,sample_url
1,VentaVinos,tinto,Bestia Roja Cabernet Sauvignon | Gran Reserva | Caja 12 Botellas 750 cc,Bestias Wines,69500,69500,https://www.ventavinos.cl/products/bestia-roja-cabernet-sauvignon-gran-reserva-caja-12-botellas-750-cc
1,Descorcha,tinto,Bestia Roja Merlot,Bestias Wines,5994,5994,https://descorcha.com/products/bestia-roja-gran-reserva-merlot
1,VentaVinos,tinto,Bestia Sweet Reserva | Red Blend|  Caja 6 Botellas 750cc,Bestias Wines,32990,32990,https://www.ventavinos.cl/products/bestia-sweet-reserva-red-blend-caja-6-botellas-750cc
1,VentaVinos,tinto,Bestia Sweet|Reserva| Red Blend|  750cc,Bestias Wines,7990,7990,https://www.ventavinos.cl/products/bestia-sweet-reserva-red-blend-750cc
1,Descorcha,tinto,Bicicleta Cabernet Sauvignon,Comercial Peumo,2793,2793,https://descorcha.com/products/bicicleta-cabernet-sauvignon
1,Descorcha,tinto,Bicicleta Frutal Frutos del Bosque,Comercial Peumo,2394,2394,https://descorcha.com/products/bicicleta-frutal-frutos-del-bosque
1,Descorcha,tinto,Bicicleta Red Blend,Comercial Peumo,2594,2594,https://descorcha.com/products/bicicleta-red-blend
1,Descorcha,tinto,Bodega Norton Barrel Select,Bodega Norton,7920,7920,https://descorcha.com/products/bodega-norton-barrel-select
1,Descorcha,tinto,Bodega Norton Lote Negro,Bodega Norton,23992,23992,https://descorcha.com/products/bodega-norton-lote-negro
1,Descorcha,tinto,Bodega Norton Privada Malbec,Bodega Norton,22493,22493,https://descorcha.com/products/bodega-norton-privada-malbec
1,Descorcha,tinto,Bodega Norton Private Family Blend,Bodega Norton,17243,17243,https://descorcha.com/products/bodega-norton-private-family-blend
1,Descorcha,tinto,Bonterra The Butler,Comercial Peumo,89990,89990,https://descorcha.com/products/bonterra-the-butler
1,Descorcha,tinto,Bonterra Zinfandel,Comercial Peumo,26990,26990,https://descorcha.com/products/bonterra-zinfandel
1,Descorcha,tinto,Cabo De Hornos Cabernet Sauvignon,Comercial Zapata,52493,52493,https://descorcha.com/products/cabo-de-hornos-cabernet-sauvignon
1,VentaVinos,tinto,Caja 6 Botellas Royal One | Gran Reserva  | Cabernet Sauvignon | 750 cc,Bestias Wines,29970,29970,https://www.ventavinos.cl/products/caja-6-botellas-royal-one-gran-reserva-cabernet-sauvignon-750-cc
1,VentaVinos,tinto,Caja 6 TORETO | Reserva Đ Familia | Merlot | 750 cc,Bestias Wines,53970,53970,https://www.ventavinos.cl/products/caja-6-toreto-reserva-d-familia-merlot-750-cc
1,VentaVinos,tinto,Caja 6 TORETO | Reserva Đ Familia | PACK VARIEDADES | 750 cc,Bestias Wines,53970,53970,https://www.ventavinos.cl/products/caja-6-toreto-reserva-d-familia-pack-variedades-750-cc
1,VentaVinos,tinto,Caja 6 vinos Royal One | Gran Reserva  | Carmenere | 750 cc,Bestias Wines,29970,29970,https://www.ventavinos.cl/products/caja-6-vinos-royal-one-gran-reserva-carmenere-750-cc-copia
1,La Vinoteca,tinto,Calcu FUTA Cabernet Sauvignon,Calcu,99990,99990,https://www.lavinoteca.cl/calcu-futa-cabernet-sauvignon/p
1,La Vinoteca,tinto,Calcu Tiny Blocks Cabernet Sauvignon,Calcu,13990,13990,https://www.lavinoteca.cl/calcu-tiny-blocks-cabernet-sauvignon/p
